"topicName","topic"
"Text","http://focu.io/data#T_Text"
"The Glass Palace","http://focu.io/data#T_The_Glass_Palace"
"Turtle","http://focu.io/data#T_Turtle"
"WWW","http://focu.io/data#T_WWW"
"Wikidata","http://focu.io/data#T_Wikidata"
"Wikipedia","http://focu.io/data#T_Wikipedia"
"YouTube","http://focu.io/data#T_YouTube"
"Concordia University","http://focu.io/data#T_Concordia_University"
"Intelligent Systems","http://focu.io/data#T_Intelligent_Systems"
"McGill","http://focu.io/data#T_McGill"
"McGill University","http://focu.io/data#T_McGill_University"
"RDF","http://focu.io/data#T_RDF"
"ACM","http://focu.io/data#T_ACM"
"AI","http://focu.io/data#T_AI"
"C1","http://focu.io/data#T_C1"
"Classes","http://focu.io/data#T_Classes"
"Concordia University","http://focu.io/data#T_Concordia_University"
"Dewey Decimal Classification","http://focu.io/data#T_Dewey_Decimal_Classification"
"Dublin Core","http://focu.io/data#T_Dublin_Core"
"FOAF","http://focu.io/data#T_FOAF"
"IRI","http://focu.io/data#T_IRI"
"ISO","http://focu.io/data#T_ISO"
"Instances","http://focu.io/data#T_Instances"
"LOC","http://focu.io/data#T_LOC"
"Linked Data","http://focu.io/data#T_Linked_Data"
"P","http://focu.io/data#T_P"
"Primer","http://focu.io/data#T_Primer"
"RDF","http://focu.io/data#T_RDF"
"RDFS","http://focu.io/data#T_RDFS"
"RDF Schema","http://focu.io/data#T_RDF_Schema"
"Schemas","http://focu.io/data#T_Schemas"
"Software Engineering","http://focu.io/data#T_Software_Engineering"
"TBL","http://focu.io/data#T_TBL"
"Text","http://focu.io/data#T_Text"
"Turtle","http://focu.io/data#T_Turtle"
"Vocabularies","http://focu.io/data#T_Vocabularies"
"thesauri","http://focu.io/data#T_thesauri"
"vvv","http://focu.io/data#T_vvv"
"FOAF","http://focu.io/data#T_FOAF"
"IRI","http://focu.io/data#T_IRI"
"Intelligent Systems","http://focu.io/data#T_Intelligent_Systems"
"RDF","http://focu.io/data#T_RDF"
"Turtle","http://focu.io/data#T_Turtle"
"AVG","http://focu.io/data#T_AVG"
"BabelNet","http://focu.io/data#T_BabelNet"
"CONSTRUCT","http://focu.io/data#T_CONSTRUCT"
"CSV","http://focu.io/data#T_CSV"
"Concordia University","http://focu.io/data#T_Concordia_University"
"Construct","http://focu.io/data#T_Construct"
"Currencies","http://focu.io/data#T_Currencies"
"DBpedia","http://focu.io/data#T_DBpedia"
"Description Logics","http://focu.io/data#T_Description_Logics"
"Federated Query","http://focu.io/data#T_Federated_Query"
"Frey","http://focu.io/data#T_Frey"
"Google","http://focu.io/data#T_Google"
"HTTP","http://focu.io/data#T_HTTP"
"IRI","http://focu.io/data#T_IRI"
"LOD","http://focu.io/data#T_LOD"
"Linked Data","http://focu.io/data#T_Linked_Data"
"Linked Open Data","http://focu.io/data#T_Linked_Open_Data"
"MIN","http://focu.io/data#T_MIN"
"OPTIONAL","http://focu.io/data#T_OPTIONAL"
"OWL","http://focu.io/data#T_OWL"
"POST","http://focu.io/data#T_POST"
"Q96","http://focu.io/data#T_Q96"
"RDF","http://focu.io/data#T_RDF"
"RDFS","http://focu.io/data#T_RDFS"
"SELECT","http://focu.io/data#T_SELECT"
"SOAP","http://focu.io/data#T_SOAP"
"SPARQL","http://focu.io/data#T_SPARQL"
"SUM","http://focu.io/data#T_SUM"
"Server","http://focu.io/data#T_Server"
"Software Engineering","http://focu.io/data#T_Software_Engineering"
"Springer International Publishing","http://focu.io/data#T_Springer_International_Publishing"
"Turtle","http://focu.io/data#T_Turtle"
"UniProt","http://focu.io/data#T_UniProt"
"Wikipedia","http://focu.io/data#T_Wikipedia"
"XML","http://focu.io/data#T_XML"
"ec","http://focu.io/data#T_ec"
"Concordia University","http://focu.io/data#T_Concordia_University"
"DBpedia","http://focu.io/data#T_DBpedia"
"Dawson College","http://focu.io/data#T_Dawson_College"
"Intelligent Systems","http://focu.io/data#T_Intelligent_Systems"
"SELECT","http://focu.io/data#T_SELECT"
"AP","http://focu.io/data#T_AP"
"Amazon","http://focu.io/data#T_Amazon"
"Cambridge University","http://focu.io/data#T_Cambridge_University"
"Cambridge University Press","http://focu.io/data#T_Cambridge_University_Press"
"Comparing","http://focu.io/data#T_Comparing"
"Concordia University","http://focu.io/data#T_Concordia_University"
"Content","http://focu.io/data#T_Content"
"DCG","http://focu.io/data#T_DCG"
"FOAF","http://focu.io/data#T_FOAF"
"GOOD","http://focu.io/data#T_GOOD"
"IR","http://focu.io/data#T_IR"
"MAP","http://focu.io/data#T_MAP"
"N","http://focu.io/data#T_N"
"Recommendations","http://focu.io/data#T_Recommendations"
"Recommender Systems","http://focu.io/data#T_Recommender_Systems"
"Software Engineering","http://focu.io/data#T_Software_Engineering"
"WORSER","http://focu.io/data#T_WORSER"
"AP","http://focu.io/data#T_AP"
"Compute","http://focu.io/data#T_Compute"
"Evaluate","http://focu.io/data#T_Evaluate"
"Intelligent Systems","http://focu.io/data#T_Intelligent_Systems"
"Recommender Systems","http://focu.io/data#T_Recommender_Systems"
"Target","http://focu.io/data#T_Target"
"AI","http://focu.io/data#T_AI"
"BSD License","http://focu.io/data#T_BSD_License"
"COMP","http://focu.io/data#T_COMP"
"CS","http://focu.io/data#T_CS"
"Compute","http://focu.io/data#T_Compute"
"Concordia University","http://focu.io/data#T_Concordia_University"
"EDA","http://focu.io/data#T_EDA"
"Enron","http://focu.io/data#T_Enron"
"Exploratory Data Analysis","http://focu.io/data#T_Exploratory_Data_Analysis"
"House of Cards","http://focu.io/data#T_House_of_Cards"
"Intro","http://focu.io/data#T_Intro"
"ML","http://focu.io/data#T_ML"
"Measure","http://focu.io/data#T_Measure"
"Motivation","http://focu.io/data#T_Motivation"
"NB","http://focu.io/data#T_NB"
"Netflix","http://focu.io/data#T_Netflix"
"Noisy Data","http://focu.io/data#T_Noisy_Data"
"P","http://focu.io/data#T_P"
"RDFS","http://focu.io/data#T_RDFS"
"Software Engineering","http://focu.io/data#T_Software_Engineering"
"FFF","http://focu.io/data#T_FFF"
"AIML","http://focu.io/data#T_AIML"
"ASK","http://focu.io/data#T_ASK"
"Alexa","http://focu.io/data#T_Alexa"
"Amazon","http://focu.io/data#T_Amazon"
"Apple","http://focu.io/data#T_Apple"
"Approach","http://focu.io/data#T_Approach"
"CE","http://focu.io/data#T_CE"
"Community","http://focu.io/data#T_Community"
"Concordia University","http://focu.io/data#T_Concordia_University"
"Conversational","http://focu.io/data#T_Conversational"
"DBpedia","http://focu.io/data#T_DBpedia"
"DFA","http://focu.io/data#T_DFA"
"Deep Learning","http://focu.io/data#T_Deep_Learning"
"Eliza","http://focu.io/data#T_Eliza"
"Finite State Machine","http://focu.io/data#T_Finite_State_Machine"
"Frey","http://focu.io/data#T_Frey"
"Google","http://focu.io/data#T_Google"
"Google Search","http://focu.io/data#T_Google_Search"
"HBO","http://focu.io/data#T_HBO"
"IBM","http://focu.io/data#T_IBM"
"LOD","http://focu.io/data#T_LOD"
"Loyola College","http://focu.io/data#T_Loyola_College"
"MS","http://focu.io/data#T_MS"
"Microsoft","http://focu.io/data#T_Microsoft"
"NLP","http://focu.io/data#T_NLP"
"OPE","http://focu.io/data#T_OPE"
"Prentice Hall","http://focu.io/data#T_Prentice_Hall"
"QA","http://focu.io/data#T_QA"
"RAM","http://focu.io/data#T_RAM"
"RDF","http://focu.io/data#T_RDF"
"Reyes","http://focu.io/data#T_Reyes"
"SELECT","http://focu.io/data#T_SELECT"
"Software Engineering","http://focu.io/data#T_Software_Engineering"
"Springer International Publishing","http://focu.io/data#T_Springer_International_Publishing"
"Stopword","http://focu.io/data#T_Stopword"
"Workflow","http://focu.io/data#T_Workflow"
"YOUS","http://focu.io/data#T_YOUS"
"2D","http://focu.io/data#T_2D"
"CU","http://focu.io/data#T_CU"
"Capital Letters","http://focu.io/data#T_Capital_Letters"
"DBpedia","http://focu.io/data#T_DBpedia"
"Intelligent Systems","http://focu.io/data#T_Intelligent_Systems"
"ML","http://focu.io/data#T_ML"
"McGill","http://focu.io/data#T_McGill"
"NLP","http://focu.io/data#T_NLP"
"OpenCalais","http://focu.io/data#T_OpenCalais"
"Paris Hilton","http://focu.io/data#T_Paris_Hilton"
"RDF","http://focu.io/data#T_RDF"
"SELECT","http://focu.io/data#T_SELECT"
"ANNIE","http://focu.io/data#T_ANNIE"
"API","http://focu.io/data#T_API"
"BERT","http://focu.io/data#T_BERT"
"Brill","http://focu.io/data#T_Brill"
"CONTROL","http://focu.io/data#T_CONTROL"
"Chunking","http://focu.io/data#T_Chunking"
"Classifiers","http://focu.io/data#T_Classifiers"
"Concordia University","http://focu.io/data#T_Concordia_University"
"Deep Learning","http://focu.io/data#T_Deep_Learning"
"EGFR","http://focu.io/data#T_EGFR"
"EOS","http://focu.io/data#T_EOS"
"GSH","http://focu.io/data#T_GSH"
"Hepple","http://focu.io/data#T_Hepple"
"IBM","http://focu.io/data#T_IBM"
"IR","http://focu.io/data#T_IR"
"Information Retrieval","http://focu.io/data#T_Information_Retrieval"
"JM","http://focu.io/data#T_JM"
"ML","http://focu.io/data#T_ML"
"MOD","http://focu.io/data#T_MOD"
"NAD","http://focu.io/data#T_NAD"
"NADP","http://focu.io/data#T_NADP"
"NER","http://focu.io/data#T_NER"
"NLP","http://focu.io/data#T_NLP"
"NP","http://focu.io/data#T_NP"
"Need","http://focu.io/data#T_Need"
"PDF","http://focu.io/data#T_PDF"
"Penn Treebank","http://focu.io/data#T_Penn_Treebank"
"PubMed","http://focu.io/data#T_PubMed"
"PyTorch","http://focu.io/data#T_PyTorch"
"Query Interface","http://focu.io/data#T_Query_Interface"
"Roman Catholic Church","http://focu.io/data#T_Roman_Catholic_Church"
"SVM","http://focu.io/data#T_SVM"
"Software Engineering","http://focu.io/data#T_Software_Engineering"
"Speech","http://focu.io/data#T_Speech"
"Stanford","http://focu.io/data#T_Stanford"
"Tagging","http://focu.io/data#T_Tagging"
"TensorFlow","http://focu.io/data#T_TensorFlow"
"Text Mining","http://focu.io/data#T_Text_Mining"
"The Apache Software Foundation","http://focu.io/data#T_The_Apache_Software_Foundation"
"Token","http://focu.io/data#T_Token"
"Tokens","http://focu.io/data#T_Tokens"
"Transducers","http://focu.io/data#T_Transducers"
"UIMA","http://focu.io/data#T_UIMA"
"University of Sheffield","http://focu.io/data#T_University_of_Sheffield"
"Unstructured Information Management Architecture","http://focu.io/data#T_Unstructured_Information_Management_Architecture"
"XML","http://focu.io/data#T_XML"
"ANNIE","http://focu.io/data#T_ANNIE"
"EMM","http://focu.io/data#T_EMM"
"GATE","http://focu.io/data#T_GATE"
"Intelligent Systems","http://focu.io/data#T_Intelligent_Systems"
"NER","http://focu.io/data#T_NER"
"NLP","http://focu.io/data#T_NLP"
"Tokenization","http://focu.io/data#T_Tokenization"
"University","http://focu.io/data#T_University"
