Key,Faculty,Department,Program,Level,Degree,Course code,Course number,Title,Description,Metadata,Type,Website
FAS_267,FAS,"Geography, Planning and Environment",Urban Planning,Undergraduate,Bachelor,URBS,333,Urban Laboratory,"First-hand knowledge, plans are evaluated by the peer group and experts in the field",Laboratory/clinics;Real-world project/assignment,Course-integrated,
FAS_268,FAS,"Geography, Planning and Environment","Urban Planning, Urban Studies",Undergraduate,Bachelor,URBS,335,Geographic Information Systems,"Real-world problem, Laboratory",Laboratory/clinics;Real-world project/assignment,Course-integrated,
FAS_269,FAS,"Geography, Planning and Environment","Urban Planning, Urban Studies",Undergraduate,Bachelor,URBS,362,Quantitative Research Methods,Laboratory,Laboratory/clinics;Case studies,Course-integrated;Research-based;,
FAS_270,FAS,"Geography, Planning and Environment","Urban Planning, Urban Studies",Undergraduate,Bachelor,URBS,420,The Social and Cultural Geographies of Montreal,Field trips,Case Studies;Simulations,Course-integrated,
FAS_271,FAS,"Geography, Planning and Environment",Urban Planning,Undergraduate,Bachelor,URBS,433,Advanced Urban Laboratory,Simulations,Laboratory/clinics;Simulations,Course-integrated;Research-based;,
FAS_1009,FAS,History,History,Graduate,Master,HIST,685,Master’s Thesis,Master's Thesis,,Course-integrated,
FAS_273,FAS,"Geography, Planning and Environment","Urban Planning, Urban Studies",Undergraduate,Bachelor,URBS,483,Directed Studies / Practicum in Urban Planning I,"120 hours with a private or public institution, or community interest group",Case Studies;Practica,Course-integrated;Work-integrated;,
FAS_1010,FAS,History,History,Graduate,PhD,HIST,890,Thesis Research,Thesis Research,,Course-integrated,
FAS_274,FAS,"Geography, Planning and Environment","Urban Planning, Urban Studies",Undergraduate,Bachelor,URBS,484,Directed Studies / Practicum in Urban Planning II,"120 hours with a private or public institution, or community interest group",Case Studies;Practica,Course-integrated;Work-integrated;,
FAS_858,FAS,"Geography, Planning and Environment","Urban Planning, Urban Studies",Undergraduate,Bachelor,URBS,337,Urban Agriculture,Field work - working in community gardens,Real-world project/assignment;Practica,Course-integrated;Community-based;,
FAS_859,FAS,"Geography, Planning and Environment","Urban Planning, Urban Studies",Undergraduate,Bachelor,URBS,362,Quantitative Research Methods,Laboratory,Laboratory/clinics;Real-world project/assignment,Course-integrated,
FAS_397,FAS,Theological Studies,Any program,Undergraduate,Bachelor,THEO,234,"Pilgrim Bodies, Sacred Journeys",Individual and group fieldwork,Real-world project/assignment;Practica,Course-integrated,
FAS_398,FAS,Theological Studies,Any program,Undergraduate,Bachelor,THEO,243,Indigenous Spirituality,Group fieldwork,Real-world project/assignment;Practica,Course-integrated;Community-based;,
FAS_399,FAS,Theological Studies,Pastoral Care,Undergraduate,Bachelor,THEO,404,Practicum in Pastoral  Care,Internship and field exploration focused on an area in pastoral care,Real-world project/assignment;Practica,Course-integrated;Work-integrated;,
FAS_766,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor,TESL,330,Computers in Language Learning,"Conceptualize, design and assess computer-based materials (including websites, online materials, digital games, virtual learning environments, etc.); develop a computer-assisted language learning curriculum;",Simulations;Laboratory/Clinics,Course-integrated,
FAS_1018,FAS,English,English Literature,Graduate,Master,ENGL,601,Literary Pedagogies,Special Topics in English Literature,,Course-integrated,
FAS_771,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor,TESL,326,TESL Pedagogy: General,"Minimum 20 hours observing, teaching & assisting in adult ESL classes, classroom-based projects",Practica;Real-world project/assignment,Course-integrated;Work-integrated;,
FAS_774,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor,TESL,426,Primary Pedagogy,Games/role-plays. Case studies. Hands-on workshops.,Games/Role-playing;Case studies,Course-integrated,
FAS_775,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor,TESL,427,Secondary Pedagogy,Games/role-plays. Case studies. Hands-on workshops.,Games/Role-playing;Case studies,Course-integrated,
FAS_776,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor,TESL,471,English Language Arts: Secondary,Case studies. Hands-on workshops.,Games/Role-playing;Case studies,Course-integrated,
FAS_778,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor,TESL,488,Internship Seminar,Develop self-regulated learning of that of a professional in education. Develop the ability to make links between the knowledge acquired during the BEd & practice in the field.,Practica;Case studies,Course-integrated,
FAS_765,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor / Certificate,TESL,221,Phonology for Teachers,"This course includes a practice component, called pronunciation tutorials. During this practical component of the course, students meet with a non-native speaker, learner of English as a second language (typically, an international student at Concordia), conduct an assessment of the learner's pronunciation skills, and design and implement a brief pronunciation course.",Hands-on workshops;Games/Role-playing,Course-integrated,
FAS_767,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor / Certificate,TESL,231,Modern English Grammar,Practical teaching assignments based on ESL speech and writing samples,Hands-on workshops;Games/Role-playing,Course-integrated,
FAS_768,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor / Certificate,TESL,331,Grammar for Teachers,Practical assignments: evaluate online grammar sources; prepare grammar lesson outlines and participate in teaching simulations. The work completed by students can be applied in their teaching careers,Hands-on workshops;Games/Role-playing,Course-integrated,
FAS_770,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor / Certificate,TESL,341,Language acquisition,Case studies. Hands-on workshops.,Case studies;Hands-on workshops,Course-integrated,
FAS_772,FAS,Education,Teaching English as a Second Language,Undergraduate,Bachelor / Certificate,TESL,415,"Testing, Evaluation, and Course Design","Students analyze tests and rating scales, and create a set of thematic assessments for their final project.",Laboratory/Clinics,Course-integrated,
FAS_326,FAS,Mathematics and Statistics,Actuarial Mathematics and Finance / Statistics,Undergraduate,Bachelor,STAT,287,Statistics Lab I,Lab,Laboratory/clinics;Simulations,Course-integrated,
FAS_327,FAS,Mathematics and Statistics,Actuarial Mathematics / Statistics,Undergraduate,Bachelor,STAT,388,Statistics Lab II,Lab,Laboratory/clinics;Simulations,Course-integrated,
FAS_328,FAS,Mathematics and Statistics,Mathematical and Computational Finance / Statistics,Undergraduate,Bachelor,STAT,461,Statistical Simulation,Simulations,Laboratory/clinics;Simulations,Course-integrated,
FAS_874,FAS,Mathematics and Statistics,Any program (required in Statistics),Undergraduate,Bachelor,STAT,280,Introduction to Statistical Programming,Introduction to statistical programming and computational statistics using the R programming language.,Laboratory/clinics;Case studies,Course-integrated,
FAS_1032,FAS,Any department,Any program,Any level,Any degree,,,Arts and Science Federation of Associations,"Largest faculty association, representing over 16,000 undergraduate Arts and Science students.",,Student life,
FAS_1033,FAS,School of Community and Public Affairs,Any program,Any level,Any degree, , ,School of Community and Public Affairs Students’ Association,The SCPASA provides advocacy for students of the School of Community and Public Affairs,,Student life,
FAS_1034,FAS,Liberal Arts College,Western Society and Culture,Any level,Any degree, , ,Liberal Arts Society ,LAS represents students who are majoring and minoring in the Western Society and Culture program of the Liberal Arts College of Concordia,,Student life,
FAS_1035,FAS,Chemistry and Biochemistry,Any program,Graduate,Master/PhD, , ,Chemistry and Biochemistry Graduate Students Association,Graduate student association for MSc and PhD students in the Department of Chemistry and Biochemistry,,Student life,
FAS_1036,FAS,English,Any program,Graduate,Master/PhD, , ,Student Association for Graduates in English (SAGE),"SAGE's purpose is to enrich the academic, creative, and social life of all MA and Ph.D. students enrolled in the English graduate program.",,Student life,
FAS_1037,FAS,Any department,Any program,Graduate,Master/PhD, , ,IPSA-Concordia Summer School in Applied Diplomacy,"Policy-oriented seminars will be complemented with a practical hands-on Diplomacy Lab, allowing the participants to work on case studies in teams. ",,Course-integrated,https://www.concordia.ca/summer/artsci/ipsa-applied-diplomacy.html
FAS_1038,FAS,Any department,Any program,Graduate,Master/PhD, , ,Projected Futures 5: Experimental Science Journalism Studies,Projected Futures 5 is an intensive and experiential summer school that will challenge participants to rethink how science is communicated with society. Graduate students will be exposed to the foundations of evidence-based science journalism and then asked to experiment to create new forms of scientific storytelling.,,Course-integrated,https://www.concordia.ca/artsci/journalism/programs/journalism-studies.html
FAS_1039,FAS,Any department,Any program,Any level,Any degree, , ,Azrieli Institute of Israel Studies,"A common passion and dedication to the study of Israel brings together faculty, researchers and students from diverse fields such as archaeology, religion, political science, economics, arts and literature, and anthropology and sociology.",,Course-integrated;Research-based;,
FAS_104,FAS,Communication Studies,Communication Studies,Graduate,Certificate,COMS,513,Cultures of Production,Field research projects,,Course-integrated,
FAS_1040,FAS,Any department,Any program,Graduate,Master/PhD, , ,Centre for Interdisciplinary Studies in Society and Culture,"The Centre for Interdisciplinary Studies in Society and Culture is Concordia’s home for discussion, exchange, and collaborative research across the humanities and the arts.",,Research-based,https://www.concordia.ca/artsci/cissc.html
FAS_1041,FAS,Any department,Any program,Graduate,Master/PhD, , ,Loyola Sustainability Research Centre,"The mission of the Loyola Sustainability Research Centre (LSRC) is to promote a transdisciplinary approach to research and education about relationships among natural, human, and technological systems through basic and applied research, research creation, and art and design. ",,Research-based,https://www.concordia.ca/artsci/research/loyola-sustainability.html
FAS_1042,FAS,Any department,Any program,Graduate,Master/PhD, , ,Centre for Applied Synthetic Biology (CASB),"Concordia’s Centre for Applied Synthetic Biology is Canada’s first and only research centre dedicated to the development of foundational technologies in synthetic biology and their application to solve emerging needs in environmental protection, sustainable manufacturing, agriculture, food production and drug development. ",,Research-based,https://www.concordia.ca/research/casb.html
FAS_1043,FAS,Any department,Any program,Graduate,Master/PhD, , ,The Centre for Biological Applications of Mass Spectrometry,"The Centre for Biological Applications of Mass Spectrometry (CBAMS) is a state-of-the-art facility that supports researchers and provides graduate students enrolled in ""omics"" sciences with valuable hands-on training.",,Research-based,https://www.concordia.ca/research/mass-spec.html
FAS_1044,FAS,Any department,Any program,Graduate,Master/PhD, , ,The Centre for Clinical Research in Health,The Centre for Clinical Research in Health (CCRH) is devoted to the study of the psychosocial determinants of physical and mental health.,,Research-based,https://www.concordia.ca/research/clinical-research-health.html
FAS_1045,FAS,Any department,Any program,Graduate,Master/PhD, , ,Centre for NanoScience Research,The Centre for NanoScience Research provides access to state-of-the-art instrumentation and fosters and promotes interdisciplinary research collaborations in nanoscale science.,,Research-based,https://www.concordia.ca/research/nanoscience.html
FAS_1046,FAS,Any department,Any program,Any level,Any degree, , ,Centre for Oral History and Digital Storytelling,"It explores the links between oral history, digital media, the arts and education.",,Course-integrated;Research-based;,
FAS_1047,FAS,Any department,Any program,Graduate,Master/PhD, , ,The Centre for Research in Human Development,The Centre for Research in Human Development (CRDH) brings together top researchers and trainees in the area of lifespan development.,,Research-based,http://crdh.concordia.ca/homee.html
FAS_1048,FAS,Any department,Any program,Any level,Any degree, , ,Centre for Research in Molecular Modeling,"CERMM is a multi-institutional research centre that supports research in the molecular sciences, fostering collaborations between researchers in all fields of molecular simulations, including chemistry, biology, physics and engineering.",,Course-integrated;Research-based;,
FAS_1049,FAS,Any department,Any program,Any level,Any degree, , ,Centre for Sensory Studies,"The Centre for Sensory Studies is an interdisciplinary collaboration platform for research in the social life and history of the senses, multisensory aesthetics, sensory design and marketing, and the development of technologies for expanding the sensorium in innovative ways.",,Course-integrated;Research-based;,
FAS_105,FAS,Communication Studies,Communication Studies,Graduate,Certificate,COMS,562,Media Production: Sound,Lectures and Laboratory: average 6 hours per week,,Course-integrated,
FAS_1050,FAS,Any department,Any program,Any level,Any degree, , ,Centre for Structural and Functional Genomics,"A state-of-the-art core genomics facility and computational resources to sequence, process and store the genetic information of various organisms.",,Course-integrated;Research-based;,
FAS_1051,FAS,Any department,Any program,Any level,Any degree, , ,The Center for Studies in Behavioral Neurobiology,The Center for Studies in Behavioral Neurobiology (CSBN) brings together the talents of scientists interested in probing the fundamental brain mechanisms that underlie behavior and disease.,,Course-integrated;Research-based;,
FAS_1052,FAS,Any department,Any program,Any level,Any degree, , ,The Centre for the Study of Learning and Performance,The mission of the CSLP is to conduct research on teaching and learning processes.,,Course-integrated;Research-based;,
FAS_1053,FAS,Any department,Any program,Any level,Any degree, , ,Centre for Broadcasting and Journalism Studies,"The Concordia Centre for Broadcasting and Journalism Studies has been involved with the study of media since 1981, as a research centre and as an archive. The Centre prides itself as a hub of intellectual engagement with media by sociologists, journalism and communication scholars, historians, and literature specialists.",,Course-integrated;Research-based;,
FAS_1054,FAS,Any department,Any program,Graduate,Master/PhD, , ,Centre for the Study of Politics and Immigration,"The CSPI is a research initiative on the politics of immigration and on immigration-related public policies. It produces and supports original research, provides training to students and is engaged in knowledge dissemination.",,Research-based,https://www.concordia.ca/artsci/research/cspi.html
FAS_1055,FAS,Any department,Any program,Any level,Any degree, , ,"Technoculture, Art and Games (TAG)","Technoculture, Art and Games (TAG) is an interdisciplinary centre for research/creation in game studies and design, digital culture and interactive art.",,Course-integrated;Research-based;,
FAS_1056,FAS,Any department,Any program,Any level,Any degree, , ,Karl Polanyi Institute of Political Economy,The mission of the Institute is two-fold: to preserve the intellectual legacy of Karl Polanyi and to contribute to research and  policy debates on new development strategies locally and internationally and on the new or reformed multilateral institutions required for the global order.,,Course-integrated;Research-based;,
FAS_1057,FAS,Any department,Any program,Any level,Any degree, , ,Institute for Genocide and Human Rights Studies (MIGS),The institute serves as a leadership and ideas incubator that convenes stakeholders with the goal of developing better policies to protect human rights. ,,Course-integrated;Research-based;,
FAS_1058,FAS,Any department,Any program,Any level,Any degree, , ,Microscopy and Cellular Imaging,The Centre for Microscopy and Cell Imaging provides members of Concordia University with access to advanced fluorescence microscopes.,,Course-integrated;Research-based;,
FAS_1059,FAS,Any department,Any program,Any level,Any degree, , ,Montreal Health Statistics Centre,"The Montreal Health Statistics Centre (MHS) connects Statistics students and faculty with health researchers. Through training, networking and collaboration, we promote best practices and methodologies relevant to health research.",,Course-integrated;Research-based;,
FAS_106,FAS,Communication Studies,Communication Studies,Graduate,Certificate,COMS,570,Media Production: Intermedia,Lectures and Laboratory: average 6 hours per week,,Course-integrated,
FAS_1060,FAS,Any department,Any program,Any level,Any degree, , ,Institute for Investigative Journalism,The Institute for Investigative Journalism (IIJ) offers unparalleled educational experiences for journalism students and in-depth coverage of complex stories in underserved communities. IIJ connects major media outlets with journalism students and faculty from across the nation to carry out investigations in the public interest.,,Course-integrated;Research-based;,
FAS_1061,FAS,Any department,Any program,Graduate,Master/PhD, , ,Social Justice Centre,"The Social Justice Centre provides support for events, offers fellowships for postdoctoral researchers and graduate students and promotes dialogue and collaboration between researchers with different backgrounds and methodologies.",,Research-based,https://www.concordia.ca/artsci/research/social-justice-centre.html
FAS_1062,FAS,Any department,Any program,Graduate,Master/PhD, , ,"Center for Research on Values, Attitudes and Societies","The Center for Research on Values, Attitudes and Societies aims to study the evolution of values and attitudes among societies, in Canada and throughout the world.",,Research-based,https://www.concordia.ca/artsci/research/cevas-en.html
FAS_1063,FAS,Any department,Any program,Any level,Any degree, , ,Concordia Centre for Cognitive Science and Linguistics,The Concordia Centre for Cognitive Science and Linguistics provides a structure for the intellectual exchange and sharing of resources among scholars at Concordia University and other institutions who are interested in the study of the mind. ,,Course-integrated;Research-based;,
FAS_875,FAS,Mathematics and Statistics,Any program (required in Statistics),Undergraduate,Bachelor,STAT,380,Statistical Learning,"Introduction to methods in statistical/machine learning, computer programming, projects using data",Laboratory/clinics;Case studies,Course-integrated,
FAS_876,FAS,Mathematics and Statistics,Statistics,Undergraduate,Bachelor,STAT,480,Statistical Consulting and Data Analysis,Statistical software (SAS) projects using data,Laboratory/clinics;Case studies,Course-integrated,
FAS_1066,FAS,Any department,Any program,Any level,Any degree,,,Lab for Latin American and Caribbean Studies,"Our multidisciplinary faculty and student members work together to give students research related experience that they can't get in the classroom. We bring in speakers from around the world, organize events, and publish together. Students at all levels get to network with established scholars, practice presenting research, and be involved in publishing.",,Course-integrated;Research-based;,
FAS_877,FAS,Mathematics and Statistics,Statistics / Actuarial Mathematics / Actuarial Math and Finance/ Mathematical and Computational Finance,Undergraduate,Bachelor,STAT,460,Time Series and Forecasting,Analysis of time series data using statistical software,Laboratory/clinics;Case studies,Course-integrated,
FAS_107,FAS,Communication Studies,Media Studies,Graduate,Master,COMS,606,Media Research Practicum,Individual research practicum offered on a tutorial basis under faculty supervision,,Course-integrated,
FAS_878,FAS,Mathematics and Statistics,Any program,Undergraduate,Bachelor,STAT,497,"Topics in Statistics (Topic in 2020, 2021 - Reinforcement Learning)","Reinforcement Learning - Projects with real world applications, computer programming",Laboratory/clinics;Real-world project/assignment,Course-integrated,
FAS_109,FAS,Economics,Economics,Graduate,Master / PhD,ECON,680,Econometric Theory I,computer-based applications,,Course-integrated,
FAS_1065,FAS,Simone de Beauvoir Institute,Sexuality Studies,Undergraduate,Bachelor,SSDB,492,Seminar in Advanced Topics in Sexuality I,This seminar is designed to provide a setting for concentrated learning and an opportunity for advanced feminist and intersectional study on a research topic in sexuality.,Real-world project/assignment;Case studies,Course-integrated;Research-based;,
FAS_110,FAS,Economics,Economics,Graduate,Master / PhD,ECON,683,Applied Econometrics: Microeconometrics,practical aspects of analysis,,Course-integrated,
FAS_971,FAS,Simone de Beauvoir Institute,Sexuality Studies,Undergraduate,Bachelor,SSDB,428,Independent Study,"This course provides the opportunity for an independent study in which the student may explore, from a feminist and intersectional perspective, a specific topic within the interdisciplinary field of sexuality.",Real-world project/assignment,Course-integrated;Research-based;,
FAS_989,FAS,Simone de Beauvoir Institute,Sexuality Studies,Undergraduate,Bachelor,SSDB,428,Independent Study,"This course provides the opportunity for an independent study in which the student may explore, from a feminist and intersectional perspective, a specific topic within the interdisciplinary field of sexuality.",,Course-integrated;Research-based;,
FAS_990,FAS,Simone de Beauvoir Institute,Sexuality Studies,Undergraduate,Bachelor,SSDB,220,Introduction to Theories of Sexuality,This course is a multidisciplinary introduction to the central problems in the study of sexuality. ,Case Studies,Course-integrated,
FAS_991,FAS,Simone de Beauvoir Institute,Sexuality Studies,Undergraduate,Bachelor,SSDB,275,Introduction to Sexuality Research,"This course surveys interdisciplinary approaches to research in sexuality within the humanities, arts and social sciences. The course considers different research methodologies in sexuality research, with opportunities to apply multiple methods.",Case Studies,Course-integrated;Research-based;,
FAS_992,FAS,Simone de Beauvoir Institute,Sexuality Studies,Undergraduate,Bachelor,SSDB,425,Ethics and Community Engagement,"This course examines the ethics, practices, and processes of working within and alongside of communities. Examining both theoretical and practical texts, case studies, and site-visits in the area of feminism and sexuality, the course prepares students to enter into the Practicum experience.",Case Studies;Practica,Course-integrated;Community-based;,
FAS_993,FAS,Simone de Beauvoir Institute,Sexuality Studies,Undergraduate,Bachelor,SSDB,426,Practicum,This course offers a 100-hour field experience over the course of one semester. The course involves a fieldwork project.,Practica,Course-integrated;Work-integrated;,
FAS_934,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,SPAN,200,Introductory Spanish: Intensive,lab work,Laboratory/clinics,Course-integrated,
FAS_937,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,SPAN,201,Introductory Spanish I,lab work,Laboratory/clinics,Course-integrated,
FAS_940,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,SPAN,202,Introductory Spanish II,lab work,Laboratory/clinics,Course-integrated,
FAS_949,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,SPAN,240,Intermediate Spanish: Intensive Course ,lab work,Laboratory/clinics,Course-integrated,
FAS_146,FAS,English,English Literature,Graduate,PhD,ENGL,802,Professional Development Workshops,Workshops,,Course-integrated,
FAS_929,FAS,Sociology and Anthropology,Sociology,Undergraduate,Bachelor,SOCI,450,Social Economy & Sustainable Futures,Community Service Learning & Group project,Real-world project/assignment,Course-integrated;Community-based;,
FAS_396,FAS,Sociology and Anthropology,Sociology,Undergraduate,Bachelor,SOCI,415,Field Research,"Field, practice",Real-world project/assignment;Practica,Course-integrated;Research-based;,
FAS_380,FAS,School of Community and Public Affairs,Community / Public Affairs and Policy Studies,Undergraduate,Bachelor,SCPA,301,Social Debates and Issues in Public Affairs and Public Policy,"Case studies, public panel discussion",Case Studies,Course-integrated,
FAS_381,FAS,School of Community and Public Affairs,Community / Public Affairs and Policy Studies,Undergraduate,Bachelor,SCPA,352,Community and Local Activism,Local and community activism,Case Studies,Course-integrated;Community-based;,
FAS_382,FAS,School of Community and Public Affairs,Community / Public Affairs and Policy Studies,Undergraduate,Bachelor,SCPA,412,Senior Research Seminar,"Simulation, real-life interaction, one-day event at the end of term",Capstone Project;Real-world project/assignment,Course-integrated,
FAS_926,FAS,School of Community and Public Affairs,Community / Public Affairs and Policy Studies,Undergraduate,Bachelor,SCPA,411,Internship,,Real-world project/assignment;Practica,Course-integrated;Work-integrated;,
FAS_389,FAS,Science College,Multidisciplinary Studies in Science,Undergraduate,Bachelor,SCOL,290,Directed and Independent Study I,"Practical laboratory project (one semester in length) intended to give students an introduction to the way a research group operates, as well as the factors that go into the design and execution of a research project.",Laboratory/Clinics,Course-integrated;Research-based;,
FAS_390,FAS,Science College,Multidisciplinary Studies in Science,Undergraduate,Bachelor,SCOL,391,Directed and Independent Study II,"Practical laboratory project (two semesters in length) to be carried out after the completion of SCOL 290, and in a field different from the SCOL 290 project",Laboratory/Clinics,Course-integrated,
FAS_391,FAS,Science College,Multidisciplinary Studies in Science,Undergraduate,Bachelor,SCOL,490,Directed and Independent Study III,"Practical laboratory project (two semesters in length) to be carried out after the completion of SCOL 290 and SCOL 391, and in a field different from the SCOL 290 and 391 projects",Laboratory/Clinics,Course-integrated,
FAS_156,FAS,Études françaises,Littératures de langue française,Graduate,Master,FLIT,690,Présentation du mémoire,mémoire,,Course-integrated,
FAS_157,FAS,Études françaises,Littératures de langue française,Graduate,Master,FLIT,691,Présentation du mémoire incluant une réalisation médiatique,"mémoire, réalisation médiatique",,Course-integrated,
FAS_158,FAS,Études françaises,Littératures de langue française,Graduate,Master,FLIT,692,Mémoire,mémoire,,Course-integrated,
FAS_159,FAS,Études françaises,Littératures de langue française,Graduate,Master,FLIT,693,Mémoire incluant une réalisation médiatique,"mémoire, réalisation médiatique",,Course-integrated,
FAS_920,FAS,Religions and Cultures,Religions and Cultures,UG,BA,RELI ,392,Women in Jewish History: Modern,interviewing a woman whose life story is informative ,,Course-integrated,
FAS_908,FAS,Religions and Cultures,Religions and Cultures,UG,BA,RELI,210,Religion in Practice,create map of religious sites in students’ neighborhood; interview religious leader for practice portrait; field trips to religious sites,Case Studies,Course-integrated;Community-based;,
FAS_909,FAS,Religions and Cultures,Religions and Cultures,UG,BA,RELI,214,Religions of the West,"field trip to places of workshop, creative project, group presentations",Case Studies,Course-integrated;Community-based;,
FAS_910,FAS,Religions and Cultures,Religions and Cultures,UG,BA,RELI,215,Religions of Asia,"field trip to places of workshop, creative project, group presentations",Case Studies,Course-integrated;Community-based;,
FAS_911,FAS,Religions and Cultures,Religions and Cultures,UG,BA,RELI,220,Introduction to Judaism,"real-life case studies, role-playing, fieldwork, facilitated reflection in response paper assignments",Case Studies,Course-integrated;Community-based;,
FAS_167,FAS,Études françaises,Traduction,Graduate,Certificate,FRAA,523,Rédaction avancée,compétences (rédactionnelles),,Course-integrated,
FAS_169,FAS,Études françaises,Traduction,Graduate,Certificate,FRAA,598,Étude avancée d’un sujet particulier,étude avancée,,Course-integrated,
FAS_912,FAS,Religions and Cultures,Religions and Cultures,UG,BA,RELI,223,Introduction to Christianity,site visits to local churches and Christian communities,Case Studies,Course-integrated;Community-based;,
FAS_913,FAS,Religions and Cultures,Religions and Cultures,UG,BA,RELI,224,Introduction to Hinduism,"field trip to places of workshop, creative project, group presentations",Case Studies,Course-integrated;Community-based;,
FAS_914,FAS,Religions and Cultures,Religions and Cultures,UG,BA,RELI,312,Justice and Social Conflict in a Globalized World,profile of a social justice organization,Real-world project/assignmen,Course-integrated;Community-based;,
FAS_915,FAS,Religions and Cultures,Religions and Cultures,UG,BA,RELI,313,Zoroastrianism,participation in local community’s gahanbar rituals.,Real-world project/assignmen,Course-integrated;Community-based;,
FAS_916,FAS,Religions and Cultures,Religions and Cultures,UG,BA,RELI,318,Shiite Islam,team video preparation,Real-world project/assignmen,Course-integrated;Community-based;,
FAS_917,FAS,Religions and Cultures,Religions and Cultures,UG,BA,RELI,378,Death and Dying,"profile of death care issues or rituals in Montreal, field trips",Real-world project/assignmen,Course-integrated;Community-based;,
FAS_918,FAS,Religions and Cultures,Religions and Cultures,UG,BA,RELI,387,Goddesses and Religious Images of Women,field report on contemporaneous experience related to course material,Real-world project/assignmen,Course-integrated,
FAS_919,FAS,Religions and Cultures,Religions and Cultures,UG,BA,RELI,390,Angels and Demons in Judaism,"Creative assignment (artwork; poetry; fiction), optional participation in exhibit; in-class presentation",Artistic performances/exhibits;Real-world project/assignmen,Course-integrated,
FAS_921,FAS,Religions and Cultures,Religions and Cultures,UG,BA,RELI,396,Food and Religion,field report on contemporaneous experience related to course material,Real-world project/assignmen,Course-integrated,
